DistrAdminist,VF_masc_0_4_anos,VF_masc_5_9_anos,VF_fem_0_4_anos,VF_fem_5_9_anos,VF_2018_2022
Água Rasa,1,3,1,3,8
Alto de Pinheiros,0,1,0,0,1
Anhangüera,5,1,7,2,15
Aricanduva,8,6,8,1,23
Artur Alvim,3,3,7,3,16
Barra Funda,2,2,0,0,4
Bela Vista,1,3,2,2,8
Belém,3,6,3,4,16
Bom Retiro,2,3,0,2,7
Brás,5,3,3,1,12
Brasilândia,33,20,19,19,91
Butantã,0,1,2,1,4
Cachoeirinha,18,14,14,12,58
Cambuci,4,3,4,4,15
Campo Belo,4,2,4,3,13
Campo Grande,6,4,8,3,21
Campo Limpo,24,23,15,13,75
Cangaíba,15,9,15,5,44
Capão Redondo,39,40,23,22,124
Carrão,6,1,1,1,9
Casa Verde,10,7,10,1,28
Cidade Ademar,45,47,67,37,196
Cidade Dutra,23,24,30,14,91
Cidade Líder,17,18,11,11,57
Cidade Tiradentes,25,40,36,21,122
Consolação,0,0,0,0,0
Cursino,4,5,11,4,24
Ermelino Matarazzo,13,13,21,15,62
Freguesia do Ó,12,8,10,6,36
Grajaú,120,82,121,39,362
Guaianases,20,13,24,12,69
Iguatemi,10,13,26,13,62
Ipiranga,5,3,8,2,18
Itaim Bibi,1,1,0,1,3
Itaim Paulista,123,146,174,141,584
Itaquera,37,35,35,43,150
Jabaquara,8,16,16,11,51
Jacanã,9,11,11,3,34
Jaguara,6,4,0,3,13
Jaguaré,1,0,2,1,4
Jaraguá,18,14,22,10,64
Jardim Angela,56,60,64,35,215
Jardim Helena,31,42,25,36,134
Jardim Paulista,0,0,0,0,0
Jardim São Luís,47,50,54,38,189
José Bonifácio,6,9,17,5,37
Lajeado,18,8,20,8,54
Lapa,1,3,4,0,8
Liberdade,1,1,1,3,6
Limão,5,5,4,2,16
Mandaqui,4,9,0,2,15
Marsilac,4,6,2,2,14
Moema,1,0,0,0,1
Mooca,6,1,2,2,11
Morumbi,0,0,2,3,5
Parelheiros,59,45,53,25,182
Pari,2,0,1,1,4
Parque do Carmo,2,5,5,6,18
Pedreira,29,23,35,21,108
Penha,5,13,10,6,34
Perdizes,2,1,1,0,4
Perus,15,13,11,6,45
Pinheiros,0,0,2,0,2
Pirituba,24,21,7,8,60
Ponte Rasa,5,5,16,5,31
Raposo Tavares,8,13,15,6,42
República,1,2,1,0,4
Rio Pequeno,10,8,5,8,31
Sacomã,29,16,21,15,81
Santa Cecília,3,3,1,3,10
Santana,4,2,8,0,14
Santo Amaro,2,5,2,4,13
São Domingos,10,6,3,4,23
São Lucas,7,6,11,1,25
São Mateus,9,16,19,9,53
São Miguel,47,50,31,47,175
São Rafael,4,1,6,4,15
Sapopemba,37,24,35,17,113
Saúde,3,0,0,2,5
Sé,1,1,2,3,7
Socorro,6,0,1,5,12
Tatuapé,1,4,2,2,9
Tremembé,22,26,15,22,85
Tucuruvi,4,2,4,2,12
Vila Andrade,9,8,11,12,40
Vila Curuçá,22,25,31,23,101
Vila Formosa,5,2,5,2,14
Vila Guilherme,4,1,6,2,13
Vila Jacuí,24,24,23,17,88
Vila Leopoldina,4,4,4,3,15
Vila Maria,11,12,6,10,39
Vila Mariana,1,3,4,5,13
Vila Matilde,6,4,2,3,15
Vila Medeiros,4,13,10,11,38
Vila Prudente,4,4,2,1,11
Vila Sônia,6,9,6,4,25